구분별,시점,경기실적SBHI
소기업,2017.03 월,83.2
소기업,2017.04 월,82.4
소기업,2017.05 월,79.4
소기업,2017.06 월,81.6
소기업,2017.07 월,79.7
소기업,2017.08 월,76.1
소기업,2017.09 월,87.7
소기업,2017.10 월,78
소기업,2017.11 월,83.7
소기업,2017.12 월,79.8
소기업,2018.01 월,73.1
소기업,2018.02 월,70.8
소기업,2018.03 월,81.8
소기업,2018.04 월,83.8
소기업,2018.05 월,84.8
소기업,2018.06 월,83
소기업,2018.07 월,78.8
소기업,2018.08 월,78.6
소기업,2018.09 월,80.3
소기업,2018.10 월,80.2
소기업,2018.11 월,79.9
소기업,2018.12 월,78.5
소기업,2019.01 월,69.7
소기업,2019.02 월,65.8
소기업,2019.03 월,77.6
소기업,2019.04 월,78.9
소기업,2019.05 월,79.9
소기업,2019.06 월,79.5
소기업,2019.07 월,76.7
소기업,2019.08 월,74
소기업,2019.09 월,73.1
소기업,2019.10 월,76.6
소기업,2019.11 월,80.1
소기업,2019.12 월,77.7
소기업,2020.01 월,71.4
소기업,2020.02 월,66.4
소기업,2020.03 월,62.6
소기업,2020.04 월,57.5
소기업,2020.05 월,59.5
소기업,2020.06 월,62.2
소기업,2020.07 월,66.5
소기업,2020.08 월,64
소기업,2020.09 월,67.2
소기업,2020.10 월,70.5
소기업,2020.11 월,75.5
소기업,2020.12 월,72.6
소기업,2021.01 월,67
소기업,2021.02 월,70.8
소기업,2021.03 월,77.3
소기업,2021.04 월,81.3
소기업,2021.05 월,79.3
소기업,2021.06 월,79.2
소기업,2021.07 월,77.2
소기업,2021.08 월,71.8
소기업,2021.09 월,77.1
소기업,2021.10 월,81.3
소기업,2021.11 월,82.5
소기업,2021.12 월,81.2
소기업,2022.01 월,77.9
소기업,2022.02 월,74.8
소기업,2022.03 월,78.7
소기업,2022.04 월,81.1
중기업,2015.01 월,83.7
중기업,2015.02 월,84.2
중기업,2015.03 월,88.6
중기업,2015.04 월,92.8
중기업,2015.05 월,93.2
중기업,2015.06 월,83.3
중기업,2015.07 월,84
중기업,2015.08 월,83.8
중기업,2015.09 월,91.9
중기업,2015.10 월,94.7
중기업,2015.11 월,90.1
중기업,2015.12 월,85.7
중기업,2016.01 월,86.7
중기업,2016.02 월,80.5
중기업,2016.03 월,93.7
중기업,2016.04 월,95.3
중기업,2016.05 월,93.1
중기업,2016.06 월,90
중기업,2016.07 월,92.3
중기업,2016.08 월,86.8
중기업,2016.09 월,91.7
중기업,2016.10 월,87.3
중기업,2016.11 월,88.4
중기업,2016.12 월,85
중기업,2017.01 월,81.2
중기업,2017.02 월,83.8
중기업,2017.03 월,91.6
중기업,2017.04 월,93.5
중기업,2017.05 월,88
중기업,2017.06 월,90.5
중기업,2017.07 월,88.7
중기업,2017.08 월,83.6
중기업,2017.09 월,92.5
중기업,2017.10 월,83.2
중기업,2017.11 월,89.9
중기업,2017.12 월,89.5
중기업,2018.01 월,86.6
중기업,2018.02 월,81.6
중기업,2018.03 월,88.4
중기업,2018.04 월,91.2
중기업,2018.05 월,88.5
중기업,2018.06 월,89.1
중기업,2018.07 월,83.8
중기업,2018.08 월,79.6
중기업,2018.09 월,84.2
중기업,2018.10 월,85
중기업,2018.11 월,87.2
중기업,2018.12 월,85.6
중기업,2019.01 월,85.1
중기업,2019.02 월,75.8
중기업,2019.03 월,86.8
중기업,2019.04 월,90.2
중기업,2019.05 월,87.5
중기업,2019.06 월,85.5
중기업,2019.07 월,82.5
중기업,2019.08 월,77.8
중기업,2019.09 월,79.1
중기업,2019.10 월,83.6
중기업,2019.11 월,86.1
중기업,2019.12 월,85.4
중기업,2020.01 월,82.8
중기업,2020.02 월,71.9
중기업,2020.03 월,73.9
중기업,2020.04 월,64
중기업,2020.05 월,58.8
중기업,2020.06 월,63.8
중기업,2020.07 월,75.4
중기업,2020.08 월,71.5
중기업,2020.09 월,81.7
중기업,2020.10 월,87.1
중기업,2020.11 월,84.5
